anzsic_division,anzsic_code,anzsic_class_title,anzsic_division_title,is_essential
S,S9499,Other Repair and Maintenance n.e.c.,Other Services,FALSE
S,S9511,Hairdressing and Beauty Services,Other Services,FALSE
S,S9512,Diet and Weight Reduction Centre Operation,Other Services,FALSE
S,S9520,"Funeral, Crematorium and Cemetery Services",Other Services,FALSE
S,S9531,Laundry and Dry-Cleaning Services,Other Services,FALSE
S,S9532,Photographic Film Processing,Other Services,FALSE
S,S9533,Parking Services,Other Services,FALSE
S,S9534,Brothel Keeping and Prostitution Services,Other Services,FALSE
S,S9539,Other Personal Services n.e.c.,Other Services,FALSE
S,S9540,Religious Services,Other Services,FALSE
S,S9551,Business and Professional Association Services,Other Services,FALSE
S,S9552,Labour Association Services,Other Services,FALSE
S,S9559,Other Interest Group Services n.e.c.,Other Services,FALSE
S,S9601,Private Households Employing Staff,Other Services,FALSE
S,S9602,Undifferentiated Goods-Producing Activities of Private Households for Own Use,Other Services,FALSE
S,S9603,Undifferentiated Service-Producing Activities of Private Households for Own Use,Other Services,FALSE
